Country	Role Group	Name	Email
United Kingdom	Parliament	Julia Lopez	julia.lopez.mp@parliament.uk
United Kingdom	Parliament	Rupert Lowe	ruper.lowe.mp@parliament.uk
United Kingdom	Parliament	Josh MacAlister	josh.macalister.mp@parliament.uk
United Kingdom	Parliament	James MacCleary	james.maccleary.mp@parliament.uk
United Kingdom	Parliament	Alice Macdonald	alice.macdonald.mp@parliament.uk
United Kingdom	Parliament	Mr Angus MacDonald	angus.macdonald.mp@parliament.uk
United Kingdom	Parliament	Andy MacNae	andy.macnae.mp@parliament.uk
United Kingdom	Parliament	Justin Madders	justin.madders.mp@parliament.uk
United Kingdom	Parliament	Ben Maguire	ben.maguire.mp@parliament.uk
United Kingdom	Parliament	Helen Maguire	helen.maguire.mp@parliament.uk
United Kingdom	Parliament	Shabana Mahmood	shabana.mahmood.mp@parliament.uk
United Kingdom	Parliament	Alan Mak	alan.mak.mp@parliament.uk
United Kingdom	Parliament	Seema Malhotra	seema.malhotra.mp@parliament.uk
United Kingdom	Parliament	Mr Cathal Mallaghan	cathal.mallaghan.mp@parliament.uk
United Kingdom	Parliament	Kit Malthouse	kit.malthouse.mp@parliament.uk
United Kingdom	Parliament	Amanda Martin	amanda.martin.mp@parliament.uk
United Kingdom	Parliament	Mike Martin	mike.martin.mp@parliament.uk
United Kingdom	Parliament	Rachael Maskell	rachael.maskell.mp@parliament.uk
United Kingdom	Parliament	Paul Maskey	paul.maskey.mp@parliament.uk
United Kingdom	Parliament	Keir Mather	keir.mather.mp@parliament.uk
United Kingdom	Parliament	Brian Mathew	brian.mathew.mp@parliament.uk
United Kingdom	Parliament	Alex Mayer	alex.mayer.mp@parliament.uk
United Kingdom	Parliament	Jerome Mayhew	jerome.mayhew.mp@parliament.uk
United Kingdom	Parliament	Charlie Maynard	charlie.maynard.mp@parliament.uk
United Kingdom	Parliament	Douglas McAllister	douglas.mcallister.mp@parliament.uk
United Kingdom	Parliament	Kerry McCarthy	kerry.mccarthy.mp@parliament.uk
United Kingdom	Parliament	Martin McCluskey	martin.mccluskey.mp@parliament.uk
United Kingdom	Parliament	Dame Siobhain McDonagh	mcdonaghs@parliament.uk
United Kingdom	Parliament	Andy McDonald	andy.mcdonald.2nd@parliament.uk
United Kingdom	Parliament	Chris McDonald	chris.mcdonald.mp@parliament.uk
United Kingdom	Parliament	John McDonnell	mcdonnellj@parliament.uk
United Kingdom	Parliament	Blair McDougall	blair.mcdougall.mp@parliament.uk
United Kingdom	Parliament	Lola McEvoy	lola.mcevoy.mp@parliament.uk
United Kingdom	Parliament	Pat McFadden	mcfaddenp@parliament.uk
United Kingdom	Parliament	Alison McGovern	alison.mcgovern.mp@parliament.uk
United Kingdom	Parliament	Alex McIntyre	alex.mcintyre.mp@parliament.uk
United Kingdom	Parliament	Gordon McKee	gordon.mckee.mp@parliament.uk
United Kingdom	Parliament	Kevin McKenna	kevin.mckenna.mp@parliament.uk
United Kingdom	Parliament	Catherine McKinnell	catherine.mckinnell.mp@parliament.uk
United Kingdom	Parliament	Jim McMahon	jim.mcmahon.mp@parliament.uk 
United Kingdom	Parliament	Anna McMorrin	anna.mcmorrin.mp@parliament.uk
United Kingdom	Parliament	James McMurdock	james.mcmurdock.mp@parliament.uk
United Kingdom	Parliament	Frank McNally	frank.mcnally.mp@parliament.uk
United Kingdom	Parliament	Kirsty McNeill	kirsty.mcneill.mp@parliament.uk
United Kingdom	Parliament	Esther McVey	esther.mcvey.mp@parliament.uk
United Kingdom	Parliament	Llinos Medi	llinos.medi.mp@parliament.uk
United Kingdom	Parliament	Anneliese Midgley	anneliese.midgley.mp@parliament.uk
United Kingdom	Parliament	Ed Miliband	ed.miliband.mp@parliament.uk
United Kingdom	Parliament	Calum Miller	calum.miller.mp@parliament.uk
United Kingdom	Parliament	John Milne	john.milne.mp@parliament.uk
United Kingdom	Parliament	Ms Julie Minns	julie.minns.mp@parliament.uk
United Kingdom	Parliament	Navendu Mishra	navendu.mishra.mp@parliament.uk
United Kingdom	Parliament	Sir Andrew Mitchell	andrew.mitchell.mp@parliament.uk
United Kingdom	Parliament	Abtisam Mohamed	abtisam.mohamed.mp@parliament.uk
United Kingdom	Parliament	Iqbal Mohamed	iqbal.mohamed.mp@parliament.uk
United Kingdom	Parliament	Mr Gagan Mohindra	gagan.mohindra.mp@parliament.uk
United Kingdom	Parliament	Perran Moon	perran.moon.mp@parliament.uk
United Kingdom	Parliament	Robbie Moore	robbie.moore.mp@parliament.uk
United Kingdom	Parliament	Layla Moran	layla.moran.mp@parliament.uk
United Kingdom	Parliament	Jessica Morden	mordenj@parliament.uk
United Kingdom	Parliament	Edward Morello	edward.morello.mp@parliament.uk
United Kingdom	Parliament	Helen Morgan	helen.morgan.mp@parliament.uk
United Kingdom	Parliament	Stephen Morgan	stephen.morgan.mp@parliament.uk
United Kingdom	Parliament	Grahame Morris	grahame.morris.mp@parliament.uk
United Kingdom	Parliament	Joe Morris	joe.morris.mp@parliament.uk
United Kingdom	Parliament	Tom Morrison	tom.morrison.mp@parliament.uk
United Kingdom	Parliament	Joy Morrissey	joy.morrissey.mp@parliament.uk
United Kingdom	Parliament	Wendy Morton	wendy.morton.mp@parliament.uk
United Kingdom	Parliament	Dr Kieran Mullan	kieran.mullan.mp@parliament.uk
United Kingdom	Parliament	Margaret Mullane	margaret.mullane.mp@parliament.uk
United Kingdom	Parliament	David Mundell	david.mundell.mp@parliament.uk
United Kingdom	Parliament	Tessa Munt	tessa.munt.mp@parliament.uk
United Kingdom	Parliament	Luke Murphy	luke.murphy.mp@parliament.uk
United Kingdom	Parliament	Chris Murray	chris.murray.mp@parliament.uk
United Kingdom	Parliament	Ian Murray	ian.murray.mp@parliament.uk
United Kingdom	Parliament	James Murray	james.murray.mp@parliament.uk
United Kingdom	Parliament	Katrina Murray	katrina.murray.mp@parliament.uk
United Kingdom	Parliament	Susan Murray	susan.murray.mp@parliament.uk
United Kingdom	Parliament	Dr Andrew Murrison	murrisona@parliament.uk
United Kingdom	Parliament	Luke Myer	luke.myer.mp@parliament.uk
United Kingdom	Parliament	James Naish	james.naish.mp@parliament.uk
United Kingdom	Parliament	Connor Naismith	connor.naismith.mp@parliament.uk
United Kingdom	Parliament	Lisa Nandy	lisa.nandy.mp@parliament.uk
United Kingdom	Parliament	Kanishka Narayan	kanishka.narayan.mp@parliament.uk
United Kingdom	Parliament	Pamela Nash	pamela.nash.mp@parliament.uk
United Kingdom	Parliament	Josh Newbury	josh.newbury.mp@parliament.uk
United Kingdom	Parliament	Samantha Niblett	samantha.niblett.mp@parliament.uk
United Kingdom	Parliament	Charlotte Nichols	charlotte.nichols.mp@parliament.uk
United Kingdom	Parliament	Caroline Nokes	caroline.nokes.mp@parliament.uk
United Kingdom	Parliament	Jesse Norman	jesse.norman.mp@parliament.uk
United Kingdom	Parliament	Alex Norris	alex.norris.mp@parliament.uk
United Kingdom	Parliament	Dan Norris	dan.norris.mp@parliament.uk
United Kingdom	Parliament	Ben Obese-Jecty	ben.obesejecty.mp@parliament.uk
United Kingdom	Parliament	Neil O'Brien	neil.obrien.mp@parliament.uk
United Kingdom	Parliament	Brendan O'Hara	brendan.ohara.mp@parliament.uk
United Kingdom	Parliament	Sarah Olney	sarah.olney.mp@parliament.uk
United Kingdom	Parliament	Melanie Onn	melanie.onn.mp@parliament.uk
United Kingdom	Parliament	Dame Chi Onwurah	chi.onwurah.mp@parliament.uk
United Kingdom	Parliament	Dr Simon Opher	simon.opher.mp@parliament.uk
United Kingdom	Parliament	Ms Abena Oppong-Asare	abena.oppongasare.mp@parliament.uk
United Kingdom	Parliament	Kate Osamor	kate.osamor.mp@parliament.uk
United Kingdom	Parliament	Kate Osborne	kate.osborne.mp@parliament.uk
United Kingdom	Parliament	Tristan Osborne	tristan.osborne.mp@parliament.uk
United Kingdom	Parliament	Taiwo Owatemi	taiwo.owatemi.mp@parliament.uk
United Kingdom	Parliament	Sarah Owen	sarah.owen.mp@parliament.uk
United Kingdom	Parliament	Darren Paffey	darren.paffey.mp@parliament.uk
United Kingdom	Parliament	Andrew Pakes	andrew.pakes.mp@parliament.uk
United Kingdom	Parliament	Priti Patel	withammp@parliament.uk
United Kingdom	Parliament	Matthew Patrick	matthew.patrick.mp@parliament.uk
United Kingdom	Parliament	Rebecca Paul	rebecca.paul.mp@parliament.uk
United Kingdom	Parliament	Michael Payne	michael.payne.mp@parliament.uk
United Kingdom	Parliament	Stephanie Peacock	stephanie.peacock.mp@parliament.uk
United Kingdom	Parliament	Jon Pearce	jon.pearce.mp@parliament.uk
United Kingdom	Parliament	Matthew Pennycook	matthew.pennycook.mp@parliament.uk
United Kingdom	Parliament	Mr Toby Perkins	toby.perkins.mp@parliament.uk
United Kingdom	Parliament	Manuela Perteghella	manuela.perteghella.mp@parliament.uk
United Kingdom	Parliament	Jess Phillips	jess.phillips.mp@parliament.uk
United Kingdom	Parliament	Bridget Phillipson	bridget.phillipson.mp@parliament.uk
United Kingdom	Parliament	Chris Philp	chris.philp.mp@parliament.uk
United Kingdom	Parliament	Dr Al Pinkerton	al.pinkerton.mp@parliament.uk
United Kingdom	Parliament	David Pinto-Duschinsky	david.pintoduschinsky.mp@parliament.uk
United Kingdom	Parliament	Lee Pitcher	lee.pitcher.mp@parliament.uk
United Kingdom	Parliament	Jo Platt	jo.platt.mp@parliament.uk
United Kingdom	Parliament	Sarah Pochin	sarah.pochin.mp@parliament.uk
United Kingdom	Parliament	Luke Pollard	luke.pollard.mp@parliament.uk
United Kingdom	Parliament	Joe Powell	joe.powell.mp@parliament.uk
United Kingdom	Parliament	Lucy Powell	0
United Kingdom	Parliament	Gregor Poynton	gregor.poynton.mp@parliament.uk
United Kingdom	Parliament	Peter Prinsley	peter.prinsley.mp@parliament.uk
United Kingdom	Parliament	Mark Pritchard	mark.pritchard.mp@parliament.uk
United Kingdom	Parliament	Mr Richard Quigley	richard.quigley.mp@parliament.uk
United Kingdom	Parliament	Yasmin Qureshi	yasmin.qureshi.mp@parliament.uk
United Kingdom	Parliament	Steve Race	steve.race.mp@parliament.uk
United Kingdom	Parliament	Shivani Raja	shivani.raja.mp@parliament.uk
United Kingdom	Parliament	Adrian Ramsay	adrian.ramsay.mp@parliament.uk
United Kingdom	Parliament	Mr Connor Rand	connor.rand.mp@parliament.uk
United Kingdom	Parliament	Andrew Ranger	andrew.ranger.mp@parliament.uk
United Kingdom	Parliament	Jack Rankin	jack.rankin.mp@parliament.uk
United Kingdom	Parliament	Angela Rayner	angela.rayner.mp@parliament.uk
United Kingdom	Parliament	Mike Reader	mike.reader.mp@parliament.uk
United Kingdom	Parliament	David Reed	david.reed.mp@parliament.uk
United Kingdom	Parliament	Steve Reed	steve.reed.mp@parliament.uk
United Kingdom	Parliament	Ellie Reeves	ellie.reeves.mp@parliament.uk
United Kingdom	Parliament	Rachel Reeves	rachel.reeves.mp@parliament.uk
United Kingdom	Parliament	Joani Reid	joani.reid.mp@parliament.uk
United Kingdom	Parliament	Emma Reynolds	emma.reynolds.mp@parliament.uk
United Kingdom	Parliament	Jonathan Reynolds	jonathan.reynolds.mp@parliament.uk
United Kingdom	Parliament	Mr Joshua Reynolds	joshua.reynolds.mp@parliament.uk
United Kingdom	Parliament	Martin Rhodes	martin.rhodes.mp@parliament.uk
United Kingdom	Parliament	Bell Ribeiro-Addy	bell.ribeiroaddy.mp@parliament.uk
United Kingdom	Parliament	Jake Richards	jake.richards.mp@parliament.uk
United Kingdom	Parliament	Jenny Riddell-Carpenter	jenny.riddellcarpenter.mp@parliament.uk
United Kingdom	Parliament	Lucy Rigby	lucy.rigby.mp@parliament.uk
United Kingdom	Parliament	Ms Marie Rimmer	marie.rimmer.mp@parliament.uk
United Kingdom	Parliament	Dave Robertson	dave.robertson.mp@parliament.uk
United Kingdom	Parliament	Joe Robertson	joe.robertson.mp@parliament.uk
United Kingdom	Parliament	Gavin Robinson	gavin.robinson.mp@parliament.uk
United Kingdom	Parliament	Tim Roca	tim.roca.mp@parliament.uk
United Kingdom	Parliament	Matt Rodda	matt.rodda.mp@parliament.uk
United Kingdom	Parliament	Ian Roome	ian.roome.mp@parliament.uk
United Kingdom	Parliament	Andrew Rosindell	andrew.rosindell.mp@parliament.uk
United Kingdom	Parliament	Sam Rushworth	sam.rushworth.mp@parliament.uk
United Kingdom	Parliament	Sarah Russell	sarah.russell.mp@parliament.uk
United Kingdom	Parliament	Tom Rutland	tom.rutland.mp@parliament.uk
United Kingdom	Parliament	Oliver Ryan	oliver.ryan.mp@parliament.uk
United Kingdom	Parliament	Anna Sabine	anna.sabine.mp@parliament.uk
United Kingdom	Parliament	Sarah Sackman	sarah.sackman.mp@parliament.uk
United Kingdom	Parliament	Dr Jeevun Sandher	jeevun.sandher.mp@parliament.uk
United Kingdom	Parliament	Louise Sandher-Jones	louise.jones.mp@parliament.uk
United Kingdom	Parliament	Dr Roz Savage	roz.savage.mp@parliament.uk
United Kingdom	Parliament	Liz Saville Roberts	liz.savilleroberts.mp@parliament.uk
United Kingdom	Parliament	Michelle Scrogham	michelle.scrogham.mp@parliament.uk
United Kingdom	Parliament	Mark Sewards	mark.sewards.mp@parliament.uk
United Kingdom	Parliament	Naz Shah	naz.shah.mp@parliament.uk
United Kingdom	Parliament	Baggy Shanker	baggy.shanker.mp@parliament.uk
United Kingdom	Parliament	Michael Shanks	michael.shanks.mp@parliament.uk
United Kingdom	Parliament	Jim Shannon	jim.shannon.mp@parliament.uk
United Kingdom	Parliament	Dr Neil Shastri-Hurst	neil.shastrihurst.mp@parliament.uk
United Kingdom	Parliament	Sir Alec Shelbrooke	alec.shelbrooke.mp@parliament.uk
United Kingdom	Parliament	Tulip Siddiq	tulip.siddiq.mp@parliament.uk
United Kingdom	Parliament	David Simmonds	david.simmonds.mp@parliament.uk
United Kingdom	Parliament	Josh Simons	josh.simons.mp@parliament.uk
United Kingdom	Parliament	Vikki Slade	vikki.slade.mp@parliament.uk
United Kingdom	Parliament	Andy Slaughter	slaughtera@parliament.uk
United Kingdom	Parliament	John Slinger	john.slinger.mp@parliament.uk
United Kingdom	Parliament	Lisa Smart	lisa.smart.mp@parliament.uk
United Kingdom	Parliament	Cat Smith	cat.smith.mp@parliament.uk
United Kingdom	Parliament	David Smith	david.smith.mp@parliament.uk
United Kingdom	Parliament	Greg Smith	greg.smith.mp@parliament.uk
United Kingdom	Parliament	Jeff Smith	jeff.smith.mp@parliament.uk
United Kingdom	Parliament	Nick Smith	nick.smith.mp@parliament.uk
United Kingdom	Parliament	Rebecca Smith	rebecca.smith.mp@parliament.uk
United Kingdom	Parliament	Sarah Smith	sarah.smith.mp@parliament.uk
United Kingdom	Parliament	Sir Julian Smith	julian.smith.mp@parliament.uk
United Kingdom	Parliament	Karin Smyth	karin.smyth.mp@parliament.uk
United Kingdom	Parliament	Gareth Snell	gareth.snell.mp@parliament.uk
United Kingdom	Parliament	Mr Andrew Snowden	andrew.snowden.mp@parliament.uk
United Kingdom	Parliament	Alex Sobel	alex.sobel.mp@parliament.uk
United Kingdom	Parliament	Ian Sollom	ian.sollom.mp@parliament.uk
United Kingdom	Parliament	Dr Ben Spencer	ben.spencer.mp@parliament.uk
United Kingdom	Parliament	Patrick Spencer	patrick.spencer.mp@parliament.uk
United Kingdom	Parliament	Gregory Stafford	greg.stafford.mp@parliament.uk
United Kingdom	Parliament	Euan Stainbank	euan.stainbank.mp@parliament.uk
United Kingdom	Parliament	Sir Keir Starmer	keir.starmer.mp@parliament.uk
United Kingdom	Parliament	Blake Stephenson	blake.stephenson.mp@parliament.uk
United Kingdom	Parliament	Jo Stevens	jo.stevens.mp@parliament.uk
United Kingdom	Parliament	Kenneth Stevenson	kenneth.stevenson.mp@parliament.uk
United Kingdom	Parliament	Elaine Stewart	elaine.stewart.mp@parliament.uk
United Kingdom	Parliament	Jamie Stone	jamie.stone.mp@parliament.uk
United Kingdom	Parliament	Will Stone	will.stone.mp@parliament.uk
United Kingdom	Parliament	Alistair Strathern	alistair.strathern.mp@parliament.uk
United Kingdom	Parliament	Wes Streeting	wes.streeting.mp@parliament.uk
United Kingdom	Parliament	Alan Strickland	alan.strickland.mp@parliament.uk
United Kingdom	Parliament	Sir Mel Stride	mel.stride.mp@parliament.uk
United Kingdom	Parliament	Graham Stringer	graham.stringer.mp@parliament.uk
United Kingdom	Parliament	Graham Stuart	grahamstuartmp@parliament.uk
United Kingdom	Parliament	Dr Lauren Sullivan	lauren.sullivan.mp@parliament.uk
United Kingdom	Parliament	Kirsteen Sullivan	kirsteen.sullivan.mp@parliament.uk
United Kingdom	Parliament	Zarah Sultana	zarah.sultana.mp@parliament.uk
United Kingdom	Parliament	Rishi Sunak	rishi.sunak.mp@parliament.uk
United Kingdom	Parliament	Peter Swallow	peter.swallow.mp@parliament.uk
United Kingdom	Parliament	Robin Swann	robin.swann.mp@parliament.uk
United Kingdom	Parliament	Sir Desmond Swayne	swayned@parliament.uk
United Kingdom	Parliament	Sir Mark Tami	tamim@parliament.uk
United Kingdom	Parliament	Mike Tapp	mike.tapp.mp@parliament.uk
United Kingdom	Parliament	Alison Taylor	alison.taylor.mp@parliament.uk
United Kingdom	Parliament	David Taylor	david.taylor.mp@parliament.uk
United Kingdom	Parliament	Luke Taylor	luke.taylor.mp@parliament.uk
United Kingdom	Parliament	Rachel Taylor	rachel.taylor.mp@parliament.uk
United Kingdom	Parliament	Bradley Thomas	bradley.thomas.mp@parliament.uk
United Kingdom	Parliament	Cameron Thomas	cameron.thomas.mp@parliament.uk
United Kingdom	Parliament	Fred Thomas	fred.thomas.mp@parliament.uk
United Kingdom	Parliament	Gareth Thomas	gareth.thomas.mp@parliament.uk
United Kingdom	Parliament	Nick Thomas-Symonds	nick.thomassymonds.mp@parliament.uk
United Kingdom	Parliament	Adam Thompson	adam.thompson.mp@parliament.uk
United Kingdom	Parliament	Emily Thornberry	thornberrye@parliament.uk
United Kingdom	Parliament	Richard Tice	richard.tice.mp@parliament.uk
United Kingdom	Parliament	Dr Marie Tidball	marie.tidball.mp@parliament.uk
United Kingdom	Parliament	Sir Stephen Timms	timmss@parliament.uk
United Kingdom	Parliament	Nick Timothy	nick.timothy.mp@parliament.uk
United Kingdom	Parliament	Jessica Toale	jessica.toale.mp@parliament.uk
United Kingdom	Parliament	Dan Tomlinson	dan.tomlinson.mp@parliament.uk
United Kingdom	Parliament	Jon Trickett	trickettj@parliament.uk
United Kingdom	Parliament	Laura Trott	laura.trott.mp@parliament.uk
United Kingdom	Parliament	Henry Tufnell	henry.tufnell.mp@parliament.uk
United Kingdom	Parliament	Tom Tugendhat	tom.tugendhat.mp@parliament.uk
United Kingdom	Parliament	Anna Turley	anna.turley.mp@parliament.uk
United Kingdom	Parliament	Matt Turmaine	matt.turmaine.mp@parliament.uk
United Kingdom	Parliament	Karl Turner	karl.turner.mp@parliament.uk
United Kingdom	Parliament	Laurence Turner	laurence.turner.mp@parliament.uk
United Kingdom	Parliament	Derek Twigg	derek.twigg.mp@parliament.uk
United Kingdom	Parliament	Liz Twist	liz.twist.mp@parliament.uk
United Kingdom	Parliament	Harpreet Uppal	harpreet.uppal.mp@parliament.uk
United Kingdom	Parliament	Freddie van Mierlo	freddie.vanmierlo.mp@parliament.uk
United Kingdom	Parliament	Tony Vaughan	tony.vaughan.mp@parliament.uk
United Kingdom	Parliament	Valerie Vaz	valerie.vaz.mp@parliament.uk
United Kingdom	Parliament	Martin Vickers	martin.vickers.mp@parliament.uk
United Kingdom	Parliament	Matt Vickers	matt.vickers.mp@parliament.uk
United Kingdom	Parliament	Chris Vince	chris.vince.mp@parliament.uk
United Kingdom	Parliament	Caroline Voaden	caroline.voaden.mp@parliament.uk
United Kingdom	Parliament	Christian Wakeford	christian.wakeford.mp@parliament.uk
United Kingdom	Parliament	Imogen Walker	imogen.walker.mp@parliament.uk
United Kingdom	Parliament	Chris Ward	chris.ward.mp@parliament.uk
United Kingdom	Parliament	Melanie Ward	melanie.ward.mp@parliament.uk
United Kingdom	Parliament	Paul Waugh	paul.waugh.mp@parliament.uk
United Kingdom	Parliament	Chris Webb	chris.webb.mp@parliament.uk
United Kingdom	Parliament	Michelle Welsh	michelle.welsh.mp@parliament.uk
United Kingdom	Parliament	Catherine West	catherine.west.mp@parliament.uk
United Kingdom	Parliament	Andrew Western	andrew.western.mp@parliament.uk
United Kingdom	Parliament	Matt Western	matt.western.mp@parliament.uk
United Kingdom	Parliament	Helen Whately	helen.whately.mp@parliament.uk
United Kingdom	Parliament	Michael Wheeler	michael.wheeler.mp@parliament.uk
United Kingdom	Parliament	John Whitby	john.whitby.mp@parliament.uk
United Kingdom	Parliament	Jo White	jo.white.mp@parliament.uk
United Kingdom	Parliament	Katie White	katie.white.mp@parliament.uk
United Kingdom	Parliament	Sir John Whittingdale	john.whittingdale.mp@parliament.uk
United Kingdom	Parliament	Nadia Whittome	nadia.whittome.mp@parliament.uk
United Kingdom	Parliament	James Wild	james.wild.mp@parliament.uk
United Kingdom	Parliament	Max Wilkinson	max.wilkinson.mp@parliament.uk
United Kingdom	Parliament	David Williams	david.williams.mp@parliament.uk
United Kingdom	Parliament	Sir Gavin Williamson	gavin.williamson.mp@parliament.uk
United Kingdom	Parliament	Munira Wilson	munira.wilson.mp@parliament.uk
United Kingdom	Parliament	Sammy Wilson	barronj@parliament.uk
United Kingdom	Parliament	Pete Wishart	pete.wishart.mp@parliament.uk
United Kingdom	Parliament	Steve Witherden	steve.witherden.mp@parliament.uk
United Kingdom	Parliament	Mike Wood	mike.wood.mp@parliament.uk
United Kingdom	Parliament	Sean Woodcock	sean.woodcock.mp@parliament.uk
United Kingdom	Parliament	Sir Jeremy Wright	Jeremy.wright.mp@parliament.uk
United Kingdom	Parliament	Rosie Wrighting	rosie.wrighting.mp@parliament.uk
United Kingdom	Parliament	Martin Wrigley	martin.wrigley.mp@parliament.uk
United Kingdom	Parliament	Yuan Yang	yuan.yang.mp@parliament.uk
United Kingdom	Parliament	Mohammad Yasin	mohammad.yasin.mp@parliament.uk
United Kingdom	Parliament	Steve Yemm	steve.yemm.mp@parliament.uk
United Kingdom	Parliament	Claire Young	claire.young.mp@parliament.uk
United Kingdom	Parliament	Daniel Zeichner	0

